file,precision,registers,version,block,sort,kernel time,total time
0_UNIFORM,float,-,3,1024,-,492429,498261
0_UNIFORM,float,-,3,1024,h,492425,501342
0_UNIFORM,float,-,3,1024,H,492368,502026
0_UNIFORM,float,-,3,1024,w,492407,501202
0_UNIFORM,float,-,3,1024,W,492260,501040
0_UNIFORM,float,32,3,1024,-,409553,415380
0_UNIFORM,float,32,3,1024,h,409286,417995
0_UNIFORM,float,32,3,1024,H,409611,418098
0_UNIFORM,float,32,3,1024,w,409866,418299
0_UNIFORM,float,32,3,1024,W,409254,417572
0_UNIFORM,double,-,3,1024,-,1450399,1459495
0_UNIFORM,double,-,3,1024,h,1449347,1465512
0_UNIFORM,double,-,3,1024,H,1448857,1465353
0_UNIFORM,double,-,3,1024,w,1448573,1464590
0_UNIFORM,double,-,3,1024,W,1447879,1463882
0_UNIFORM,double,32,3,1024,-,1316579,1323622
0_UNIFORM,double,32,3,1024,h,1316220,1331136
0_UNIFORM,double,32,3,1024,H,1315797,1330717
0_UNIFORM,double,32,3,1024,w,1314976,1329899
0_UNIFORM,double,32,3,1024,W,1314636,1329737
1_RAND,float,-,3,1024,-,5158759,5161950
1_RAND,float,-,3,1024,h,2726036,2729767
1_RAND,float,-,3,1024,H,2689844,2693360
1_RAND,float,-,3,1024,w,3295335,3298991
1_RAND,float,-,3,1024,W,3267310,3271037
1_RAND,float,32,3,1024,-,3929083,3933082
1_RAND,float,32,3,1024,h,2187500,2191454
1_RAND,float,32,3,1024,H,2145111,2148790
1_RAND,float,32,3,1024,w,2577687,2581486
1_RAND,float,32,3,1024,W,2540782,2544633
1_RAND,double,-,3,1024,-,11103315,11107647
1_RAND,double,-,3,1024,h,6791718,6797550
1_RAND,double,-,3,1024,H,6759123,6764815
1_RAND,double,-,3,1024,w,7530129,7535794
1_RAND,double,-,3,1024,W,7440064,7445942
1_RAND,double,32,3,1024,-,8717776,8717780
1_RAND,double,32,3,1024,h,6085310,6090887
1_RAND,double,32,3,1024,H,6053911,6059528
1_RAND,double,32,3,1024,w,6572229,6577921
1_RAND,double,32,3,1024,W,6489395,6494963
