file,precision,registers,version,block,sort,kernel time,total time
0_UNIFORM,float,-,4,256,-,128065,132984
0_UNIFORM,float,-,4,256,h,128072,135945
0_UNIFORM,float,-,4,256,H,128018,136170
0_UNIFORM,float,-,4,256,w,128017,136282
0_UNIFORM,float,-,4,256,W,128019,136082
0_UNIFORM,float,-,4,512,-,128229,134113
0_UNIFORM,float,-,4,512,h,128184,136098
0_UNIFORM,float,-,4,512,H,128237,137000
0_UNIFORM,float,-,4,512,w,128231,136171
0_UNIFORM,float,-,4,512,W,128205,136608
0_UNIFORM,float,-,4,1024,-,128984,134020
0_UNIFORM,float,-,4,1024,h,129042,137942
0_UNIFORM,float,-,4,1024,H,128947,137291
0_UNIFORM,float,-,4,1024,w,128973,137323
0_UNIFORM,float,-,4,1024,W,128948,137260
0_UNIFORM,float,32,4,256,-,122136,127929
0_UNIFORM,float,32,4,256,h,122074,130279
0_UNIFORM,float,32,4,256,H,122228,131265
0_UNIFORM,float,32,4,256,w,121979,129953
0_UNIFORM,float,32,4,256,W,122123,130308
0_UNIFORM,float,32,4,512,-,123692,128705
0_UNIFORM,float,32,4,512,h,123871,131961
0_UNIFORM,float,32,4,512,H,123788,131940
0_UNIFORM,float,32,4,512,w,123820,131756
0_UNIFORM,float,32,4,512,W,123743,131842
0_UNIFORM,float,32,4,1024,-,125538,130390
0_UNIFORM,float,32,4,1024,h,125526,133721
0_UNIFORM,float,32,4,1024,H,125535,133742
0_UNIFORM,float,32,4,1024,w,125629,133744
0_UNIFORM,float,32,4,1024,W,125634,133514
0_UNIFORM,double,-,4,256,-,761829,769710
0_UNIFORM,double,-,4,256,h,761133,775750
0_UNIFORM,double,-,4,256,H,760853,776436
0_UNIFORM,double,-,4,256,w,760682,775258
0_UNIFORM,double,-,4,256,W,760269,774898
0_UNIFORM,double,-,4,512,-,754612,761158
0_UNIFORM,double,-,4,512,h,754504,768855
0_UNIFORM,double,-,4,512,H,753969,768384
0_UNIFORM,double,-,4,512,w,753787,768517
0_UNIFORM,double,-,4,512,W,753528,768028
0_UNIFORM,double,-,4,1024,-,738983,745246
0_UNIFORM,double,-,4,1024,h,738670,753229
0_UNIFORM,double,-,4,1024,H,738574,753065
0_UNIFORM,double,-,4,1024,w,738489,752939
0_UNIFORM,double,-,4,1024,W,738337,753605
0_UNIFORM,double,32,4,256,-,803434,809561
0_UNIFORM,double,32,4,256,h,802893,817323
0_UNIFORM,double,32,4,256,H,802483,816852
0_UNIFORM,double,32,4,256,w,802377,816944
0_UNIFORM,double,32,4,256,W,802032,816372
0_UNIFORM,double,32,4,512,-,800075,806286
0_UNIFORM,double,32,4,512,h,807694,822109
0_UNIFORM,double,32,4,512,H,807113,821748
0_UNIFORM,double,32,4,512,w,806214,820734
0_UNIFORM,double,32,4,512,W,806122,820649
0_UNIFORM,double,32,4,1024,-,795863,801971
0_UNIFORM,double,32,4,1024,h,795681,810005
0_UNIFORM,double,32,4,1024,H,795623,809952
0_UNIFORM,double,32,4,1024,w,795671,810050
0_UNIFORM,double,32,4,1024,W,795423,810818
1_RAND,float,-,4,256,-,24918433,24922170
1_RAND,float,-,4,256,h,21306695,21310381
1_RAND,float,-,4,256,H,17674971,17678992
1_RAND,float,-,4,256,w,17823504,17827528
1_RAND,float,-,4,256,W,18207511,18211287
1_RAND,float,-,4,512,-,29785000,29788550
1_RAND,float,-,4,512,h,23824586,23828672
1_RAND,float,-,4,512,H,17917729,17921279
1_RAND,float,-,4,512,w,17400611,17404439
1_RAND,float,-,4,512,W,18397294,18401128
1_RAND,float,-,4,1024,-,31178447,31181906
1_RAND,float,-,4,1024,h,24826223,24830205
1_RAND,float,-,4,1024,H,18282170,18286226
1_RAND,float,-,4,1024,w,18049532,18053620
1_RAND,float,-,4,1024,W,18703554,18707385
1_RAND,float,32,4,256,-,12859168,12859172
1_RAND,float,32,4,256,h,12859168,12859172
1_RAND,float,32,4,256,H,12859168,12859172
1_RAND,float,32,4,256,w,12859168,12859172
1_RAND,float,32,4,256,W,12859168,12859172
1_RAND,float,32,4,512,-,12859168,12859172
1_RAND,float,32,4,512,h,12859168,12859172
1_RAND,float,32,4,512,H,12859168,12859172
1_RAND,float,32,4,512,w,12859168,12859172
1_RAND,float,32,4,512,W,12859168,12859172
1_RAND,float,32,4,1024,-,12859168,12859172
1_RAND,float,32,4,1024,h,12859168,12859172
1_RAND,float,32,4,1024,H,12859168,12859172
1_RAND,float,32,4,1024,w,12859168,12859172
1_RAND,float,32,4,1024,W,12859168,12859172
1_RAND,double,-,4,256,-,12601104,12601108
1_RAND,double,-,4,256,h,12601104,12601108
1_RAND,double,-,4,256,H,12601104,12601108
1_RAND,double,-,4,256,w,12601104,12601108
1_RAND,double,-,4,256,W,12601104,12601108
1_RAND,double,-,4,512,-,12601104,12601108
1_RAND,double,-,4,512,h,12601104,12601108
1_RAND,double,-,4,512,H,12601104,12601108
1_RAND,double,-,4,512,w,12601104,12601108
1_RAND,double,-,4,512,W,12601104,12601108
1_RAND,double,-,4,1024,-,12601104,12601108
1_RAND,double,-,4,1024,h,12601104,12601108
1_RAND,double,-,4,1024,H,12601104,12601108
1_RAND,double,-,4,1024,w,12601104,12601108
1_RAND,double,-,4,1024,W,12601104,12601108
1_RAND,double,32,4,256,-,14989088,14989092
1_RAND,double,32,4,256,h,14989088,14989092
1_RAND,double,32,4,256,H,14989088,14989092
1_RAND,double,32,4,256,w,14989088,14989092
1_RAND,double,32,4,256,W,14989088,14989092
1_RAND,double,32,4,512,-,14989088,14989092
1_RAND,double,32,4,512,h,14989088,14989092
1_RAND,double,32,4,512,H,14989088,14989092
1_RAND,double,32,4,512,w,14989088,14989092
1_RAND,double,32,4,512,W,14989088,14989092
1_RAND,double,32,4,1024,-,14989088,14989092
1_RAND,double,32,4,1024,h,14989088,14989092
1_RAND,double,32,4,1024,H,14989088,14989092
1_RAND,double,32,4,1024,w,14989088,14989092
1_RAND,double,32,4,1024,W,14989088,14989092
2_RANDCONSTHEIGHT,float,-,4,256,-,493593,500835
2_RANDCONSTHEIGHT,float,-,4,256,h,101400,112328
2_RANDCONSTHEIGHT,float,-,4,256,H,77223,87994
2_RANDCONSTHEIGHT,float,-,4,256,w,102797,114642
2_RANDCONSTHEIGHT,float,-,4,256,W,77248,88579
2_RANDCONSTHEIGHT,float,-,4,512,-,502118,508845
2_RANDCONSTHEIGHT,float,-,4,512,h,106705,118078
2_RANDCONSTHEIGHT,float,-,4,512,H,77798,89410
2_RANDCONSTHEIGHT,float,-,4,512,w,106724,117247
2_RANDCONSTHEIGHT,float,-,4,512,W,77829,88485
2_RANDCONSTHEIGHT,float,-,4,1024,-,507270,514767
2_RANDCONSTHEIGHT,float,-,4,1024,h,107361,117541
2_RANDCONSTHEIGHT,float,-,4,1024,H,78905,89790
2_RANDCONSTHEIGHT,float,-,4,1024,w,107086,119330
2_RANDCONSTHEIGHT,float,-,4,1024,W,78851,90340
2_RANDCONSTHEIGHT,float,32,4,256,-,532142,538836
2_RANDCONSTHEIGHT,float,32,4,256,h,107708,118570
2_RANDCONSTHEIGHT,float,32,4,256,H,86311,97068
2_RANDCONSTHEIGHT,float,32,4,256,w,104352,115746
2_RANDCONSTHEIGHT,float,32,4,256,W,85891,97343
2_RANDCONSTHEIGHT,float,32,4,512,-,534508,540906
2_RANDCONSTHEIGHT,float,32,4,512,h,112132,123322
2_RANDCONSTHEIGHT,float,32,4,512,H,88898,99216
2_RANDCONSTHEIGHT,float,32,4,512,w,110190,120220
2_RANDCONSTHEIGHT,float,32,4,512,W,88899,100061
2_RANDCONSTHEIGHT,float,32,4,1024,-,553207,560694
2_RANDCONSTHEIGHT,float,32,4,1024,h,115981,126491
2_RANDCONSTHEIGHT,float,32,4,1024,H,93390,103850
2_RANDCONSTHEIGHT,float,32,4,1024,w,116101,126837
2_RANDCONSTHEIGHT,float,32,4,1024,W,93393,103643
2_RANDCONSTHEIGHT,double,-,4,256,-,2402963,2414643
2_RANDCONSTHEIGHT,double,-,4,256,h,524528,544226
2_RANDCONSTHEIGHT,double,-,4,256,H,448806,468458
2_RANDCONSTHEIGHT,double,-,4,256,w,523473,543418
2_RANDCONSTHEIGHT,double,-,4,256,W,449490,469316
2_RANDCONSTHEIGHT,double,-,4,512,-,2463646,2474513
2_RANDCONSTHEIGHT,double,-,4,512,h,526558,548404
2_RANDCONSTHEIGHT,double,-,4,512,H,449013,469078
2_RANDCONSTHEIGHT,double,-,4,512,w,530045,552113
2_RANDCONSTHEIGHT,double,-,4,512,W,449192,469693
2_RANDCONSTHEIGHT,double,-,4,1024,-,2497436,2506000
2_RANDCONSTHEIGHT,double,-,4,1024,h,519788,539696
2_RANDCONSTHEIGHT,double,-,4,1024,H,442141,463773
2_RANDCONSTHEIGHT,double,-,4,1024,w,519781,539796
2_RANDCONSTHEIGHT,double,-,4,1024,W,441994,461994
2_RANDCONSTHEIGHT,double,32,4,256,-,2559543,2569520
2_RANDCONSTHEIGHT,double,32,4,256,h,588245,609901
2_RANDCONSTHEIGHT,double,32,4,256,H,479713,500276
2_RANDCONSTHEIGHT,double,32,4,256,w,576144,596170
2_RANDCONSTHEIGHT,double,32,4,256,W,480029,501420
2_RANDCONSTHEIGHT,double,32,4,512,-,2609951,2619705
2_RANDCONSTHEIGHT,double,32,4,512,h,609145,628885
2_RANDCONSTHEIGHT,double,32,4,512,H,479233,500779
2_RANDCONSTHEIGHT,double,32,4,512,w,605350,627626
2_RANDCONSTHEIGHT,double,32,4,512,W,479283,498827
2_RANDCONSTHEIGHT,double,32,4,1024,-,2672811,2681167
2_RANDCONSTHEIGHT,double,32,4,1024,h,631936,651938
2_RANDCONSTHEIGHT,double,32,4,1024,H,475526,495469
2_RANDCONSTHEIGHT,double,32,4,1024,w,619654,639280
2_RANDCONSTHEIGHT,double,32,4,1024,W,477261,497011
3_RANDCONSTWIDTH,float,-,4,256,-,2244385,2247816
3_RANDCONSTWIDTH,float,-,4,256,h,1375371,1378881
3_RANDCONSTWIDTH,float,-,4,256,H,1071291,1074807
3_RANDCONSTWIDTH,float,-,4,256,w,1376117,1379736
3_RANDCONSTWIDTH,float,-,4,256,W,1071063,1074566
3_RANDCONSTWIDTH,float,-,4,512,-,2255625,2258926
3_RANDCONSTWIDTH,float,-,4,512,h,1395139,1398612
3_RANDCONSTWIDTH,float,-,4,512,H,1081556,1085110
3_RANDCONSTWIDTH,float,-,4,512,w,1395858,1399530
3_RANDCONSTWIDTH,float,-,4,512,W,1081427,1084968
3_RANDCONSTWIDTH,float,-,4,1024,-,2263893,2267005
