file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM,float,-,1,512,-,204413,205765,31024864
0_UNIFORM,float,-,1,512,w,204425,207735,31287008
0_UNIFORM,float,-,1,512,W,204362,207522,31287008
0_UNIFORM,float,-,1,512,h,204386,207534,31287008
0_UNIFORM,float,-,1,512,H,204382,207624,31287008
0_UNIFORM,float,-,2,512,-,206085,207397,31024864
0_UNIFORM,float,-,2,512,w,206648,209782,31287008
0_UNIFORM,float,-,2,512,W,206607,209759,31287008
0_UNIFORM,float,-,2,512,h,206446,209643,31287008
0_UNIFORM,float,-,2,512,H,206948,210108,31287008
0_UNIFORM,float,-,3,512,-,204612,205727,31051080
0_UNIFORM,float,-,3,512,w,204449,207387,31313224
0_UNIFORM,float,-,3,512,W,204532,207502,31313224
0_UNIFORM,float,-,3,512,h,204631,207654,31313224
0_UNIFORM,float,-,3,512,H,204447,207444,31313224
0_UNIFORM,double,-,1,512,-,664107,665456,61171484
0_UNIFORM,double,-,1,512,w,664075,671319,61433628
0_UNIFORM,double,-,1,512,W,663865,671007,61433628
0_UNIFORM,double,-,1,512,h,663823,671016,61433628
0_UNIFORM,double,-,1,512,H,663748,670849,61433628
0_UNIFORM,double,-,2,512,-,662696,663963,61171484
0_UNIFORM,double,-,2,512,w,662471,669611,61433628
0_UNIFORM,double,-,2,512,W,662523,669626,61433628
0_UNIFORM,double,-,2,512,h,662475,669650,61433628
0_UNIFORM,double,-,2,512,H,662157,669269,61433628
0_UNIFORM,double,-,3,512,-,668033,669398,61197700
0_UNIFORM,double,-,3,512,w,667946,675141,61459844
0_UNIFORM,double,-,3,512,W,667905,675144,61459844
0_UNIFORM,double,-,3,512,h,667827,674967,61459844
0_UNIFORM,double,-,3,512,H,667732,674957,61459844
1_RAND,float,-,1,512,-,11156617,11158977,317437220
1_RAND,float,-,1,512,w,10148733,10152975,317693928
1_RAND,float,-,1,512,W,10250243,10254588,317693928
1_RAND,float,-,1,512,h,10216722,10220833,317693768
1_RAND,float,-,1,512,H,10223078,10227259,317693768
1_RAND,float,-,2,512,-,11212681,11215040,317437220
1_RAND,float,-,2,512,w,10207753,10211834,317693928
1_RAND,float,-,2,512,W,10321577,10325744,317693928
1_RAND,float,-,2,512,h,10309794,10314450,317693768
1_RAND,float,-,2,512,H,10302853,10306977,317693768
1_RAND,float,-,3,512,-,8926223,8928364,197878304
1_RAND,float,-,3,512,w,7634151,7638199,165338376
1_RAND,float,-,3,512,W,7671341,7675386,165146088
1_RAND,float,-,3,512,h,7599249,7603287,161958712
1_RAND,float,-,3,512,H,7624960,7629079,161958664
1_RAND,double,-,1,512,-,27824359,27826946,633845084
1_RAND,double,-,1,512,w,25454761,25463393,634101792
1_RAND,double,-,1,512,W,25457832,25466351,634101792
1_RAND,double,-,1,512,h,25391387,25399970,634101636
1_RAND,double,-,1,512,H,25385201,25393614,634101636
1_RAND,double,-,2,512,-,27972237,27974819,633845084
1_RAND,double,-,2,512,w,25546730,25555356,634101792
1_RAND,double,-,2,512,W,25544903,25553451,634101792
1_RAND,double,-,2,512,h,25478901,25487530,634101636
1_RAND,double,-,2,512,H,25472422,25481012,634101636
1_RAND,double,-,3,512,-,23914387,23917106,394548676
1_RAND,double,-,3,512,w,20994014,21002294,329409740
1_RAND,double,-,3,512,W,20992720,21000850,329291180
1_RAND,double,-,3,512,h,20913199,20921333,322459796
1_RAND,double,-,3,512,H,20902333,20910410,322459700
2_RANDCONSTHEIGHT,float,-,1,512,-,1258759,1260745,31175104
2_RANDCONSTHEIGHT,float,-,1,512,w,1212417,1216103,31431756
2_RANDCONSTHEIGHT,float,-,1,512,W,1212404,1216133,31431756
2_RANDCONSTHEIGHT,float,-,1,512,h,1212484,1216226,31431756
2_RANDCONSTHEIGHT,float,-,1,512,H,1212428,1216151,31431756
2_RANDCONSTHEIGHT,float,-,2,512,-,1265712,1267644,31175104
2_RANDCONSTHEIGHT,float,-,2,512,w,1219260,1223006,31431756
2_RANDCONSTHEIGHT,float,-,2,512,W,1219917,1223816,31431756
2_RANDCONSTHEIGHT,float,-,2,512,h,1219219,1223126,31431756
2_RANDCONSTHEIGHT,float,-,2,512,H,1220887,1224823,31431756
2_RANDCONSTHEIGHT,float,-,3,512,-,1262198,1264281,31351560
2_RANDCONSTHEIGHT,float,-,3,512,w,1215874,1219883,31602720
2_RANDCONSTHEIGHT,float,-,3,512,W,1215643,1219653,31602720
2_RANDCONSTHEIGHT,float,-,3,512,h,1215776,1219829,31602720
2_RANDCONSTHEIGHT,float,-,3,512,H,1215358,1219380,31602720
2_RANDCONSTHEIGHT,double,-,1,512,-,3252737,3254693,61321716
2_RANDCONSTHEIGHT,double,-,1,512,w,3137824,3145768,61578372
2_RANDCONSTHEIGHT,double,-,1,512,W,3138633,3146400,61578372
2_RANDCONSTHEIGHT,double,-,1,512,h,3138495,3146287,61578372
2_RANDCONSTHEIGHT,double,-,1,512,H,3139300,3147210,61578372
2_RANDCONSTHEIGHT,double,-,2,512,-,3269634,3271574,61321716
2_RANDCONSTHEIGHT,double,-,2,512,w,3153564,3161303,61578372
2_RANDCONSTHEIGHT,double,-,2,512,W,3153845,3161673,61578372
2_RANDCONSTHEIGHT,double,-,2,512,h,3153585,3161374,61578372
2_RANDCONSTHEIGHT,double,-,2,512,H,3154130,3161956,61578372
2_RANDCONSTHEIGHT,double,-,3,512,-,3287726,3289929,61498164
2_RANDCONSTHEIGHT,double,-,3,512,w,3173464,3181985,61749332
2_RANDCONSTHEIGHT,double,-,3,512,W,3173555,3181344,61749332
2_RANDCONSTHEIGHT,double,-,3,512,h,3173172,3180975,61749332
2_RANDCONSTHEIGHT,double,-,3,512,H,3173443,3181140,61749332
3_RANDCONSTWIDTH,float,-,1,512,-,2259654,2261411,317286112
3_RANDCONSTWIDTH,float,-,1,512,w,1646549,1650323,317548256
3_RANDCONSTWIDTH,float,-,1,512,W,1646689,1650479,317548256
3_RANDCONSTWIDTH,float,-,1,512,h,1645696,1649399,317548256
3_RANDCONSTWIDTH,float,-,1,512,H,1645872,1649557,317548256
3_RANDCONSTWIDTH,float,-,2,512,-,2289959,2291655,317286112
3_RANDCONSTWIDTH,float,-,2,512,w,1673617,1677773,317548256
3_RANDCONSTWIDTH,float,-,2,512,W,1671636,1675457,317548256
3_RANDCONSTWIDTH,float,-,2,512,h,1671266,1674917,317548256
3_RANDCONSTWIDTH,float,-,2,512,H,1669348,1673004,317548256
3_RANDCONSTWIDTH,float,-,3,512,-,2205325,2206818,290066568
