file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1000,float,32,1,1024,-,3216,3595,473312
0_UNIFORM_1000,float,32,1,1024,W,3219,4326,477312
0_UNIFORM_1000,float,32,1,1024,H,3178,4279,477312
0_UNIFORM_1000,float,32,2,1024,-,3271,3642,473312
0_UNIFORM_1000,float,32,2,1024,W,3231,4368,477312
0_UNIFORM_1000,float,32,2,1024,H,3235,4334,477312
0_UNIFORM_1000,float,32,3,1024,-,3307,3643,473504
0_UNIFORM_1000,float,32,3,1024,W,3306,4375,477504
0_UNIFORM_1000,float,32,3,1024,H,3284,4352,477504
0_UNIFORM_1000,double,32,1,1024,-,9589,9979,933372
0_UNIFORM_1000,double,32,1,1024,W,9588,11499,937372
0_UNIFORM_1000,double,32,1,1024,H,8952,10784,937372
0_UNIFORM_1000,double,32,2,1024,-,8816,9203,933372
0_UNIFORM_1000,double,32,2,1024,W,8850,10680,937372
0_UNIFORM_1000,double,32,2,1024,H,8440,10204,937372
0_UNIFORM_1000,double,32,3,1024,-,8428,8775,933564
0_UNIFORM_1000,double,32,3,1024,W,8477,10193,937564
0_UNIFORM_1000,double,32,3,1024,H,8548,10266,937564
1_RAND_1000,float,32,1,1024,-,131804,132195,4842340
1_RAND_1000,float,32,1,1024,W,125351,126452,4846304
1_RAND_1000,float,32,1,1024,H,108914,110051,4846312
1_RAND_1000,float,32,2,1024,-,135072,135469,4842340
1_RAND_1000,float,32,2,1024,W,129210,130335,4846304
1_RAND_1000,float,32,2,1024,H,110324,111429,4846312
1_RAND_1000,float,32,3,1024,-,119812,120187,3775080
1_RAND_1000,float,32,3,1024,W,109997,111065,3803920
1_RAND_1000,float,32,3,1024,H,78586,79650,2522528
1_RAND_1000,double,32,1,1024,-,230759,231153,9670400
1_RAND_1000,double,32,1,1024,W,227242,229135,9674364
1_RAND_1000,double,32,1,1024,H,198796,200580,9674372
1_RAND_1000,double,32,2,1024,-,231846,232233,9670400
1_RAND_1000,double,32,2,1024,W,222609,224382,9674364
1_RAND_1000,double,32,2,1024,H,199658,201421,9674372
1_RAND_1000,double,32,3,1024,-,217469,217811,7534660
1_RAND_1000,double,32,3,1024,W,209020,210735,7588700
1_RAND_1000,double,32,3,1024,H,167706,169445,5025612
2_RANDCONSTHEIGHT_1000,float,32,1,1024,-,13804,14191,474296
2_RANDCONSTHEIGHT_1000,float,32,1,1024,W,12023,13111,478268
2_RANDCONSTHEIGHT_1000,float,32,1,1024,H,11911,12991,478268
2_RANDCONSTHEIGHT_1000,float,32,2,1024,-,12328,12706,474296
2_RANDCONSTHEIGHT_1000,float,32,2,1024,W,12141,13220,478268
2_RANDCONSTHEIGHT_1000,float,32,2,1024,H,12102,13191,478268
2_RANDCONSTHEIGHT_1000,float,32,3,1024,-,12321,12650,475472
2_RANDCONSTHEIGHT_1000,float,32,3,1024,W,12058,13096,479416
