file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1000,float,-,2,64,W,9772,10960,853120
0_UNIFORM_1000,float,-,2,64,H,9770,10946,853120
0_UNIFORM_1000,float,-,2,128,W,8871,10031,853120
0_UNIFORM_1000,float,-,2,128,H,8871,10011,853120
0_UNIFORM_1000,float,-,3,64,W,8150,9379,876800
0_UNIFORM_1000,float,-,3,64,H,7856,9078,876800
0_UNIFORM_1000,float,-,3,128,W,7852,9083,876704
0_UNIFORM_1000,float,-,3,128,H,7852,9082,876704
0_UNIFORM_1000,float,-,4,64,W,7856,9080,876992
0_UNIFORM_1000,float,-,4,64,H,7857,9084,876992
0_UNIFORM_1000,float,-,4,128,W,7860,9077,876992
0_UNIFORM_1000,float,-,4,128,H,7862,9081,876992
0_UNIFORM_1000,double,-,2,64,W,16994,18943,1689180
0_UNIFORM_1000,double,-,2,64,H,15416,17289,1689180
0_UNIFORM_1000,double,-,2,128,W,15416,17290,1689180
0_UNIFORM_1000,double,-,2,128,H,14867,16690,1689180
0_UNIFORM_1000,double,-,3,64,W,14872,16788,1732348
0_UNIFORM_1000,double,-,3,64,H,14866,16853,1732348
0_UNIFORM_1000,double,-,3,128,W,14856,16789,1732252
0_UNIFORM_1000,double,-,3,128,H,14855,16824,1732252
0_UNIFORM_1000,double,-,4,64,W,14865,16790,1732540
0_UNIFORM_1000,double,-,4,64,H,14867,16805,1732540
0_UNIFORM_1000,double,-,4,128,W,14855,16780,1732540
0_UNIFORM_1000,double,-,4,128,H,14856,16813,1732540
1_RAND_1000,float,-,2,64,W,1108851,1110194,8933120
1_RAND_1000,float,-,2,64,H,1156726,1158018,8933120
1_RAND_1000,float,-,2,128,W,1108457,1109824,8933120
1_RAND_1000,float,-,2,128,H,1156482,1157812,8933120
1_RAND_1000,float,-,3,64,W,1050859,1052269,7106816
1_RAND_1000,float,-,3,64,H,1077208,1078615,6810880
1_RAND_1000,float,-,3,128,W,1051445,1052852,7309472
1_RAND_1000,float,-,3,128,H,1077289,1078775,7000224
1_RAND_1000,float,-,4,64,W,1055675,1057119,6901184
1_RAND_1000,float,-,4,64,H,1077072,1078487,6638528
