file,precision,registers,version,block,sort,kernel time,total time
rand_h_unif_w_100000,double,-,-,-,-,-,15794385
rand_hw_100000,double,-,-,-,-,-,28918314
rand_w_unif_h_100000,double,-,-,-,-,-,16023405
skew_h_1_rand_w_100000,double,-,-,-,-,-,2764789
skew_h_10_rand_w_100000,double,-,-,-,-,-,18947375
skew_hw_1_100000,double,-,-,-,-,-,2780111
skew_hw_10_100000,double,-,-,-,-,-,18808687
skew_w_1_rand_h_100000,double,-,-,-,-,-,2741120
skew_w_10_rand_h_100000,double,-,-,-,-,-,18919442
unif_book_hw_100000,double,-,-,-,-,-,584883
unif_hw_100000,double,-,-,-,-,-,8013205
rand_h_unif_w_100000,float,-,-,-,-,-,4190775
rand_hw_100000,float,-,-,-,-,-,8266635
rand_w_unif_h_100000,float,-,-,-,-,-,4491852
skew_h_1_rand_w_100000,float,-,-,-,-,-,1068451
skew_h_10_rand_w_100000,float,-,-,-,-,-,6103906
skew_hw_1_100000,float,-,-,-,-,-,1052242
skew_hw_10_100000,float,-,-,-,-,-,6118287
skew_w_1_rand_h_100000,float,-,-,-,-,-,1056229
skew_w_10_rand_h_100000,float,-,-,-,-,-,6099668
unif_book_hw_100000,float,-,-,-,-,-,155154
unif_hw_100000,float,-,-,-,-,-,2101837
