file,precision,registers,version,block,sort,kernel time,total time
rand_h_unif_w_100000,double,-,-,-,-,-,23520689
rand_hw_100000,double,-,-,-,-,-,23311077
rand_w_unif_h_100000,double,-,-,-,-,-,12851789
skew_h_1_rand_w_100000,double,-,-,-,-,-,4753897
skew_h_10_rand_w_100000,double,-,-,-,-,-,7822883
skew_hw_1_100000,double,-,-,-,-,-,4751534
skew_hw_10_100000,double,-,-,-,-,-,7822477
skew_w_1_rand_h_100000,double,-,-,-,-,-,4754638
skew_w_10_rand_h_100000,double,-,-,-,-,-,7820759
unif_book_hw_100000,double,-,-,-,-,-,1205848
unif_hw_100000,double,-,-,-,-,-,13011106
rand_h_unif_w_100000,float,-,-,-,-,-,7181198
rand_hw_100000,float,-,-,-,-,-,7220889
rand_w_unif_h_100000,float,-,-,-,-,-,3841608
skew_h_1_rand_w_100000,float,-,-,-,-,-,1216799
skew_h_10_rand_w_100000,float,-,-,-,-,-,2285685
skew_hw_1_100000,float,-,-,-,-,-,1216805
skew_hw_10_100000,float,-,-,-,-,-,2284151
skew_w_1_rand_h_100000,float,-,-,-,-,-,1216112
skew_w_10_rand_h_100000,float,-,-,-,-,-,2285643
unif_book_hw_100000,float,-,-,-,-,-,320375
unif_hw_100000,float,-,-,-,-,-,3800791
