file,precision,registers,version,block,sort,kernel time,total time
rand_h_unif_w_100000,float,-,3,1024,h,5051086,5058077
rand_h_unif_w_100000,float,-,3,1024,H,5040360,5046730
rand_h_unif_w_100000,float,-,3,1024,w,5041790,5048217
rand_h_unif_w_100000,float,-,3,1024,W,5032152,5038501
rand_h_unif_w_100000,float,32,3,1024,h,3835208,3841971
rand_h_unif_w_100000,float,32,3,1024,H,3826767,3833014
rand_h_unif_w_100000,float,32,3,1024,w,3828706,3835094
rand_h_unif_w_100000,float,32,3,1024,W,3823900,3830701
rand_h_unif_w_100000,double,-,3,1024,h,14904025,14916978
rand_h_unif_w_100000,double,-,3,1024,H,14890779,14902829
rand_h_unif_w_100000,double,-,3,1024,w,14902946,14914927
rand_h_unif_w_100000,double,-,3,1024,W,14891273,14903375
rand_h_unif_w_100000,double,32,3,1024,h,11265209,11278041
rand_h_unif_w_100000,double,32,3,1024,H,11244190,11256826
rand_h_unif_w_100000,double,32,3,1024,w,11254424,11266292
rand_h_unif_w_100000,double,32,3,1024,W,11236849,11248727
rand_hw_100000,float,-,3,1024,h,4859550,4869354
rand_hw_100000,float,-,3,1024,H,4855233,4862743
rand_hw_100000,float,-,3,1024,w,4952355,4960084
rand_hw_100000,float,-,3,1024,W,4956160,4963349
rand_hw_100000,float,32,3,1024,h,3703185,3710001
rand_hw_100000,float,32,3,1024,H,3693724,3700572
rand_hw_100000,float,32,3,1024,w,3755759,3762168
rand_hw_100000,float,32,3,1024,W,3786183,3792597
rand_hw_100000,double,-,3,1024,h,11326676,11339597
rand_hw_100000,double,-,3,1024,H,11288999,11301812
rand_hw_100000,double,-,3,1024,w,11331585,11343729
rand_hw_100000,double,-,3,1024,W,11332498,11344530
rand_hw_100000,double,32,3,1024,h,9750314,9762985
rand_hw_100000,double,32,3,1024,H,9723178,9735223
rand_hw_100000,double,32,3,1024,w,9650874,9663528
rand_hw_100000,double,32,3,1024,W,9678466,9690292
rand_w_unif_h_100000,float,-,3,1024,h,4898864,4905846
rand_w_unif_h_100000,float,-,3,1024,H,4904217,4911102
rand_w_unif_h_100000,float,-,3,1024,w,4902312,4908756
rand_w_unif_h_100000,float,-,3,1024,W,4905777,4912088
rand_w_unif_h_100000,float,32,3,1024,h,3721630,3731209
rand_w_unif_h_100000,float,32,3,1024,H,3719876,3727537
rand_w_unif_h_100000,float,32,3,1024,w,3720469,3728159
rand_w_unif_h_100000,float,32,3,1024,W,3718398,3725617
rand_w_unif_h_100000,double,-,3,1024,h,11281168,11293994
rand_w_unif_h_100000,double,-,3,1024,H,11286894,11299648
rand_w_unif_h_100000,double,-,3,1024,w,11290506,11302591
rand_w_unif_h_100000,double,-,3,1024,W,11292104,11304305
