file,precision,registers,version,block,sort,kernel time,total time
rand_h_unif_w_100000,float,-,4,256,h,1300620,1307608
rand_h_unif_w_100000,float,-,4,256,H,1173006,1179998
rand_h_unif_w_100000,float,-,4,256,w,1299542,1306412
rand_h_unif_w_100000,float,-,4,256,W,1172410,1179116
rand_h_unif_w_100000,float,-,4,512,h,1308167,1315844
rand_h_unif_w_100000,float,-,4,512,H,1177263,1184875
rand_h_unif_w_100000,float,-,4,512,w,1306907,1316885
rand_h_unif_w_100000,float,-,4,512,W,1175976,1183519
rand_h_unif_w_100000,float,-,4,1024,h,1325494,1333019
rand_h_unif_w_100000,float,-,4,1024,H,1184670,1192534
rand_h_unif_w_100000,float,-,4,1024,w,1324528,1331238
rand_h_unif_w_100000,float,-,4,1024,W,1179774,1186405
rand_h_unif_w_100000,float,32,4,256,h,1250753,1257723
rand_h_unif_w_100000,float,32,4,256,H,1159329,1166057
rand_h_unif_w_100000,float,32,4,256,w,1259195,1266269
rand_h_unif_w_100000,float,32,4,256,W,1156393,1162994
rand_h_unif_w_100000,float,32,4,512,h,1267828,1274386
rand_h_unif_w_100000,float,32,4,512,H,1162965,1170589
rand_h_unif_w_100000,float,32,4,512,w,1270992,1278778
rand_h_unif_w_100000,float,32,4,512,W,1168491,1175176
rand_h_unif_w_100000,float,32,4,1024,h,1303758,1310184
rand_h_unif_w_100000,float,32,4,1024,H,1175565,1182101
rand_h_unif_w_100000,float,32,4,1024,w,1308819,1315518
rand_h_unif_w_100000,float,32,4,1024,W,1166073,1172679
rand_h_unif_w_100000,double,-,4,256,h,7160434,7174614
rand_h_unif_w_100000,double,-,4,256,H,6892258,6906268
rand_h_unif_w_100000,double,-,4,256,w,7174067,7187288
rand_h_unif_w_100000,double,-,4,256,W,6895837,6909157
rand_h_unif_w_100000,double,-,4,512,h,7326529,7339805
rand_h_unif_w_100000,double,-,4,512,H,6863579,6876909
rand_h_unif_w_100000,double,-,4,512,w,7326652,7339922
rand_h_unif_w_100000,double,-,4,512,W,6859143,6874198
rand_h_unif_w_100000,double,-,4,1024,h,7589200,7603959
rand_h_unif_w_100000,double,-,4,1024,H,6735304,6749307
rand_h_unif_w_100000,double,-,4,1024,w,7588018,7602732
rand_h_unif_w_100000,double,-,4,1024,W,6729743,6744545
rand_h_unif_w_100000,double,32,4,256,h,7647760,7667050
rand_h_unif_w_100000,double,32,4,256,H,7611180,7625921
rand_h_unif_w_100000,double,32,4,256,w,7630287,7646003
rand_h_unif_w_100000,double,32,4,256,W,7591711,7606458
rand_h_unif_w_100000,double,32,4,512,h,7878714,7893504
rand_h_unif_w_100000,double,32,4,512,H,7622354,7637130
rand_h_unif_w_100000,double,32,4,512,w,7872370,7887239
rand_h_unif_w_100000,double,32,4,512,W,7630629,7645534
rand_h_unif_w_100000,double,32,4,1024,h,8070073,8084818
rand_h_unif_w_100000,double,32,4,1024,H,7638736,7654388
rand_h_unif_w_100000,double,32,4,1024,w,8070751,8085631
rand_h_unif_w_100000,double,32,4,1024,W,7633599,7648419
rand_hw_100000,float,-,4,256,h,2450304,2457460
rand_hw_100000,float,-,4,256,H,2188033,2195916
rand_hw_100000,float,-,4,256,w,1902655,1910634
rand_hw_100000,float,-,4,256,W,1578200,1585934
rand_hw_100000,float,-,4,512,h,2492820,2500407
rand_hw_100000,float,-,4,512,H,2228096,2235680
rand_hw_100000,float,-,4,512,w,2154269,2160997
rand_hw_100000,float,-,4,512,W,1881068,1888761
rand_hw_100000,float,-,4,1024,h,2524009,2530669
rand_hw_100000,float,-,4,1024,H,2252722,2259951
rand_hw_100000,float,-,4,1024,w,2403251,2409897
rand_hw_100000,float,-,4,1024,W,2123454,2130104
rand_hw_100000,float,32,4,256,h,2660157,2667597
rand_hw_100000,float,32,4,256,H,2435987,2442964
rand_hw_100000,float,32,4,256,w,1826570,1833277
rand_hw_100000,float,32,4,256,W,1494071,1501570
rand_hw_100000,float,32,4,512,h,2616211,2622921
rand_hw_100000,float,32,4,512,H,2467773,2474541
rand_hw_100000,float,32,4,512,w,1905638,1914101
rand_hw_100000,float,32,4,512,W,1539268,1546062
rand_hw_100000,float,32,4,1024,h,2659971,2666700
rand_hw_100000,float,32,4,1024,H,2451953,2458899
rand_hw_100000,float,32,4,1024,w,2033909,2041414
rand_hw_100000,float,32,4,1024,W,1724492,1732006
rand_hw_100000,double,-,4,256,h,11316337,11329847
rand_hw_100000,double,-,4,256,H,10938177,10953584
rand_hw_100000,double,-,4,256,w,8578565,8592022
rand_hw_100000,double,-,4,256,W,7709524,7722837
rand_hw_100000,double,-,4,512,h,11263026,11276497
rand_hw_100000,double,-,4,512,H,10743725,10756893
rand_hw_100000,double,-,4,512,w,8828794,8842060
rand_hw_100000,double,-,4,512,W,7966083,7980030
rand_hw_100000,double,-,4,1024,h,12228034,12241310
rand_hw_100000,double,-,4,1024,H,10671987,10685250
rand_hw_100000,double,-,4,1024,w,9188076,9202058
rand_hw_100000,double,-,4,1024,W,8257757,8271080
rand_hw_100000,double,32,4,256,h,12399770,12413478
rand_hw_100000,double,32,4,256,H,11541243,11555852
rand_hw_100000,double,32,4,256,w,8924770,8939530
rand_hw_100000,double,32,4,256,W,8194407,8208465
rand_hw_100000,double,32,4,512,h,11936097,11950964
rand_hw_100000,double,32,4,512,H,11470891,11484539
rand_hw_100000,double,32,4,512,w,9250640,9265224
rand_hw_100000,double,32,4,512,W,8264142,8278147
rand_hw_100000,double,32,4,1024,h,12501993,12517579
rand_hw_100000,double,32,4,1024,H,11579930,11599798
rand_hw_100000,double,32,4,1024,w,9480063,9496052
rand_hw_100000,double,32,4,1024,W,8280008,8294919
